1,mpagin0,Md8Vc9dQ0kk,false
2,akundt1,tKEmxurf,false
3,kmoland2,2h4rzfZHH,false
4,zglennard3,C13RaAl,false
5,mphillipps4,2MXuJWJz1d,true
6,bovenell5,VyDUJ07L,true
7,varmfirld6,bB6FHd5y,true
8,kwratten7,p0twBwHmKCh,false
9,hamy8,IC9rcBAt0yC,true
10,dmatteotti9,qP49Wkz,false
11,bkemma,JIQE2uZ,true
12,aeveringhamb,OoLxIEDkTm,false
13,hpoec,wWlw16a,false
14,cmiddupd,ku1hM6mC,true
15,wsilcockse,nPTk9f8,true
16,lgoldinef,yHQHcQqjgcI,false
17,haskwithg,b0zK4Y,true
18,iiwanczykh,8c6vzqQ4V5,false
19,bclilverdi,6J5cbc8,true
20,gedelmannj,HGGdwp3p,false
21,tlaydelk,151CvrzmF,true
22,aluscottl,JSSrPX7F,false
23,aconechiem,UhKLLRHE,true
24,lkelseyn,6SRkcMHD,true
25,dkingho,nen8RX8,true
